Rank_x,Player,Team_x,Age_x,Gp_x,W_x,L_x,Min_x,Pts,Fgm_x,Fga_x,Fg%,3Pm,3Pa,3P%,Ftm,Fta,Ft%,Oreb,Dreb,Reb,Ast,Tov,Stl,Blk,Pf,Fp,Dd2,Td3,Plus/Minus,Year_x,Rank_y,Team_y,Age_y,Gp_y,W_y,L_y,Min_y,Usg%,%Fgm,%Fga,%3Pm,%3Pa,%Ftm,%Fta,%Oreb,%Dreb,%Reb,%Ast,%Tov,%Stl,%Blk,%Blka,%Pf,%Pfd,%Pts,Pos_x,Body Fat %,Hand Length (Inches),Hand Width (Inches),Height W/O Shoes,Height W/ Shoes,Standing Reach,Weight (Lbs),Wingspan,Pos_y,Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,Max Bench Press,Unnamed: 8,Position,Fgm_y,Fga_y,Fgm.1,Fga.1,Fgm.2,Fga.2,Fgm.3,Fga.3,Fgm.4,Fga.4,Team,Startdate,Enddate,Injurylengthdays,Injurynotes,Injurytype,Year_y
374.0,CRAIG BRACKINS,PHI,23.0,3.0,0.0,3.0,10.9,2.7,1.3,5.3,25.0,0.0,1.7,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.3,0.0,0.3,0.0,1.0,5.8,0.0,0.0,-3.7,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,PF-SF,0.079,9.5,11.25,80.5,81.75,109.0,229.0,84.0,PF-SF,11.65,,3.39,26.0,35.0,6.0,,,,,,,,,,,,,76ers,2010-11-24,2010-11-27,3.0,activated from IL,,2010.0
374.0,CRAIG BRACKINS,PHI,23.0,3.0,0.0,3.0,10.9,2.7,1.3,5.3,25.0,0.0,1.7,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.3,0.0,0.3,0.0,1.0,5.8,0.0,0.0,-3.7,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,PF-SF,0.079,9.5,11.25,80.5,81.75,109.0,229.0,84.0,PF-SF,11.65,,3.39,26.0,35.0,6.0,,,,,,,,,,,,,76ers,2010-12-22,2011-01-14,23.0,activated from IL,,2010.0
374.0,CRAIG BRACKINS,PHI,23.0,3.0,0.0,3.0,10.9,2.7,1.3,5.3,25.0,0.0,1.7,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.3,0.0,0.3,0.0,1.0,5.8,0.0,0.0,-3.7,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,PF-SF,0.079,9.5,11.25,80.5,81.75,109.0,229.0,84.0,PF-SF,11.65,,3.39,26.0,35.0,6.0,,,,,,,,,,,,,76ers,2011-03-06,2011-03-14,8.0,activated from IL,,2011.0
374.0,CRAIG BRACKINS,PHI,23.0,3.0,0.0,3.0,10.9,2.7,1.3,5.3,25.0,0.0,1.7,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.3,0.0,0.3,0.0,1.0,5.8,0.0,0.0,-3.7,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,PF-SF,0.079,9.5,11.25,80.5,81.75,109.0,229.0,84.0,PF-SF,11.65,,3.39,26.0,35.0,6.0,,,,,,,,,,,,,76ers,2011-03-19,2011-04-16,28.0,activated from IL,,2011.0
374.0,CRAIG BRACKINS,PHI,23.0,3.0,0.0,3.0,10.9,2.7,1.3,5.3,25.0,0.0,1.7,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.3,0.0,0.3,0.0,1.0,5.8,0.0,0.0,-3.7,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,PF-SF,0.079,9.5,11.25,80.5,81.75,109.0,229.0,84.0,PF-SF,11.65,,3.39,26.0,35.0,6.0,,,,,,,,,,,,,76ers,2012-03-02,2012-03-17,15.0,activated from IL,,2012.0
374.0,CRAIG BRACKINS,PHI,23.0,3.0,0.0,3.0,10.9,2.7,1.3,5.3,25.0,0.0,1.7,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.3,0.0,0.3,0.0,1.0,5.8,0.0,0.0,-3.7,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,PF-SF,0.079,9.5,11.25,80.5,81.75,109.0,229.0,84.0,PF-SF,11.65,,3.39,26.0,35.0,6.0,,,,,,,,,,,,,76ers,2012-03-21,2012-05-12,52.0,activated from IL,,2012.0
374.0,CRAIG BRACKINS,PHI,23.0,3.0,0.0,3.0,10.9,2.7,1.3,5.3,25.0,0.0,1.7,0.0,0.0,0.0,0.0,0.7,0.7,1.3,0.3,0.0,0.3,0.0,1.0,5.8,0.0,0.0,-3.7,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,PF-SF,0.079,9.5,11.25,80.5,81.75,109.0,229.0,84.0,PF-SF,11.65,,3.39,26.0,35.0,6.0,,,,,,,,,,,,,76ers,2012-03-27,2012-05-12,46.0,activated from IL (P),,2012.0
307.0,DAMION JAMES,NJN,23.0,25.0,7.0,18.0,16.1,4.4,1.8,4.1,44.7,0.0,0.1,0.0,0.7,1.1,64.3,0.7,2.7,3.4,0.8,1.0,0.6,0.5,1.4,12.0,0.0,0.0,-1.2,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SF,0.096,9.25,8.5,78.25,79.75,107.0,226.6,84.75,SF,10.89,,3.2,29.0,33.0,13.0,,,,,,,,,,,,,Nets,2010-11-23,2010-12-12,19.0,activated from IL,,2010.0
307.0,DAMION JAMES,NJN,23.0,25.0,7.0,18.0,16.1,4.4,1.8,4.1,44.7,0.0,0.1,0.0,0.7,1.1,64.3,0.7,2.7,3.4,0.8,1.0,0.6,0.5,1.4,12.0,0.0,0.0,-1.2,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SF,0.096,9.25,8.5,78.25,79.75,107.0,226.6,84.75,SF,10.89,,3.2,29.0,33.0,13.0,,,,,,,,,,,,,Nets,2011-02-25,2011-03-09,12.0,activated from IL,,2011.0
307.0,DAMION JAMES,NJN,23.0,25.0,7.0,18.0,16.1,4.4,1.8,4.1,44.7,0.0,0.1,0.0,0.7,1.1,64.3,0.7,2.7,3.4,0.8,1.0,0.6,0.5,1.4,12.0,0.0,0.0,-1.2,2010-2011,,,,,,,,,,,,,,,,,,,,,,,,,,SF,0.096,9.25,8.5,78.25,79.75,107.0,226.6,84.75,SF,10.89,,3.2,29.0,33.0,13.0,,,,,,,,,,,,,Nets,2011-03-17,2011-03-25,8.0,activated from IL,,2011.0
