Player_clean,Career_Arc,Perf_Tier,Seasons_Played,Avg_PPG,Injury_Count,Avg_Injury_Days,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),WEIGHT (LBS),Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,Max Bench Press
cj mccollum,Late (8+ yrs),Top 25%,12,0.2903679291800381,7,381.0,0.086,8.0,9.5,197.0,11.02,2.91,3.32,32.0,38.5,13.0
coby white,Mid (4–7 yrs),50–75%,6,0.21310718879233903,1,2.0,0.043,7.75,9.0,191.4,,,,,,
cody martin,Mid (4–7 yrs),50–75%,6,0.23333086529173427,3,326.0,0.05,8.25,9.0,192.2,10.44,2.99,3.32,28.0,35.5,7.0
cody williams,Early (1–3 yrs),Bottom 25%,1,0.092,0,,,8.25,9.0,178.4,11.17,2.93,3.06,31.0,35.5,
cody zeller,Late (8+ yrs),25–50%,11,0.17793922637908416,7,30.857142857142858,0.0475,8.5,10.5,230.0,,,,,,
colby jones,Early (1–3 yrs),Bottom 25%,2,0.08628205128205128,0,,,8.25,8.5,199.2,11.14,3.13,3.33,30.5,35.0,
cole aldrich,Late (8+ yrs),Bottom 25%,8,0.05879493430405359,2,5.0,0.085,9.0,9.25,236.0,11.48,,3.35,23.0,28.0,10.0
collin sexton,Mid (4–7 yrs),Top 25%,7,0.45898967708636695,2,38.5,0.056,8.25,8.5,183.0,,,,,,
corey brewer,Late (8+ yrs),25–50%,11,0.13116795031904538,1,26.0,0.042,,,185.0,11.69,,3.22,30.5,36.5,11.0
corey kispert,Mid (4–7 yrs),25–50%,4,0.153539360229934,0,,0.068,8.75,10.0,223.8,10.91,2.99,3.12,30.0,37.5,
cory joseph,Late (8+ yrs),Bottom 25%,14,0.10022267694270715,5,98.0,0.097,8.5,10.5,186.2,10.75,,3.27,27.5,35.0,5.0
craig brackins,Early (1–3 yrs),Top 25%,2,0.5071428571428571,2,5.0,0.079,9.5,11.25,229.0,11.65,,3.39,26.0,35.0,6.0
craig smith,Early (1–3 yrs),Bottom 25%,3,0.09557092198581559,2,25.0,0.122,,,259.0,11.59,,3.4,30.0,29.5,
daequan cook,Mid (4–7 yrs),Bottom 25%,4,0.09874443861591964,3,153.66666666666666,0.07,,,203.0,11.12,,3.22,30.0,34.5,4.0
