Player,Team,Year,Round Number,Round Pick
Admiral Schofield,Philadelphia 76ers,2019,2,12
Jaylen Nowell,Minnesota Timberwolves,2019,2,13
Bol Bol,Miami Heat,2019,2,14
Isaiah Roby,Detroit Pistons,2019,2,15
Talen Horton-Tucker,Orlando Magic,2019,2,16
Ignas Brazdeikis,Sacramento Kings,2019,2,17
Terance Mann,LA Clippers,2019,2,18
Quinndary Weatherspoon,San Antonio Spurs,2019,2,19
Jarrell Brantley,Indiana Pacers,2019,2,20
Deandre Ayton,Phoenix Suns,2018,1,1
Marvin Bagley III,Sacramento Kings,2018,1,2
Luka Dončić,Atlanta Hawks,2018,1,3
Jaren Jackson Jr.,Memphis Grizzlies,2018,1,4
Trae Young,Dallas Mavericks,2018,1,5
Mo Bamba,Orlando Magic,2018,1,6
Wendell Carter Jr.,Chicago Bulls,2018,1,7
Collin Sexton,Cleveland Cavaliers,2018,1,8
Kevin Knox II,New York Knicks,2018,1,9
Mikal Bridges,Philadelphia 76ers,2018,1,10
Shai Gilgeous-Alexander,Charlotte Hornets,2018,1,11
Miles Bridges,LA Clippers,2018,1,12
Jerome Robinson,LA Clippers,2018,1,13
Michael Porter Jr.,Denver Nuggets,2018,1,14
Troy Brown Jr.,Washington Wizards,2018,1,15
Zhaire Smith,Phoenix Suns,2018,1,16
Donte DiVincenzo,Milwaukee Bucks,2018,1,17
Lonnie Walker IV,San Antonio Spurs,2018,1,18
Kevin Huerter,Atlanta Hawks,2018,1,19
Josh Okogie,Minnesota Timberwolves,2018,1,20
Grayson Allen,Utah Jazz,2018,1,21
Chandler Hutchison,Chicago Bulls,2018,1,22
Aaron Holiday,Indiana Pacers,2018,1,23
Anfernee Simons,Portland Trail Blazers,2018,1,24
Moritz Wagner,Los Angeles Lakers,2018,1,25
Landry Shamet,Philadelphia 76ers,2018,1,26
Robert Williams III,Boston Celtics,2018,1,27
Jacob Evans,Golden State Warriors,2018,1,28
Dzanan Musa,Brooklyn Nets,2018,1,29
Omari Spellman,Atlanta Hawks,2018,1,30
Elie Okobo,Phoenix Suns,2018,2,1
Jevon Carter,Memphis Grizzlies,2018,2,2
Jalen Brunson,Dallas Mavericks,2018,2,3
Devonte' Graham,Atlanta Hawks,2018,2,4
Melvin Frazier Jr.,Orlando Magic,2018,2,5
Mitchell Robinson,New York Knicks,2018,2,6
Gary Trent Jr.,Sacramento Kings,2018,2,7
Khyri Thomas,Philadelphia 76ers,2018,2,8
Isaac Bonga,Philadelphia 76ers,2018,2,9
Rodions Kurucs,Brooklyn Nets,2018,2,10
Jarred Vanderbilt,Orlando Magic,2018,2,11
Bruce Brown,Detroit Pistons,2018,2,12
Justin Jackson,Denver Nuggets,2018,2,13
Issuf Sanon,Washington Wizards,2018,2,14
Hamidou Diallo,Brooklyn Nets,2018,2,15
De'Anthony Melton,Houston Rockets,2018,2,16
