14446,12/4/09,Heat, Chris Quinn,,activated from IL
14447,12/4/09,Hornets,, Morris Peterson,placed on IL
14448,12/4/09,Hornets,, Sean Marks,placed on IL
14449,12/4/09,Hornets, Chris Paul,,activated from IL
14450,12/4/09,Jazz,, Ronnie Price,placed on IL with sprained left big toe
14451,12/4/09,Jazz, C.J. Miles,,activated from IL
14452,12/4/09,Nets,, Eduardo Najera,placed on IL with sore lower back
14453,12/4/09,Nets,, Yi Jianlian / Jianlian Yi,placed on IL with sprained MCL in right knee
14454,12/4/09,Nets, Keyon Dooling,,activated from IL
14455,12/4/09,Nets, Tony Battie,,activated from IL
14456,12/4/09,Timberwolves,, Brian Cardinal,placed on IL
14457,12/4/09,Timberwolves, Kevin Love,,activated from IL
14458,12/5/09,76ers,, Louis Williams / Lou Williams,placed on IL recovering from surgery to repair fractured jaw
14459,12/5/09,Clippers,, Brian Skinner,placed on IL
14460,12/5/09,Clippers, Eric Gordon,,activated from IL
14461,12/5/09,Nuggets,, Renaldo Balkman,placed on IL (P)
14462,12/5/09,Nuggets, Johan Petro,,activated from IL (P)
14463,12/5/09,Suns,, Louis Amundson / Lou Amundson,placed on IL with flu
14464,12/5/09,Suns, Taylor Griffin,,activated from IL
14465,12/6/09,Cavaliers,, Jamario Moon,placed on IL with groin injury
14466,12/6/09,Cavaliers, Coby Karl,,activated from IL
14467,12/6/09,Heat,, Daequan Cook,placed on IL
14468,12/6/09,Heat, Shavlik Randolph,,activated from IL
14469,12/6/09,Heat, Yakhouba Diawara,,activated from IL
14470,12/7/09,Jazz,, Kyle Korver,placed on IL recovering from surgery on left knee to remove bone spur
14471,12/7/09,Knicks,, Marcus Landry,placed on IL
14472,12/7/09,Knicks, Eddy Curry,,activated from IL
14473,12/7/09,Nuggets,, Malik Allen,placed on IL
14474,12/7/09,Nuggets, Johan Petro,,activated from IL (P)
14475,12/7/09,Spurs,, Michael Finley,placed on IL with sprained left ankle
14476,12/7/09,Spurs, Malik Hairston,,activated from IL
14477,12/7/09,Jazz, Ronnie Price,,activated from IL
14478,12/8/09,Cavaliers,, Coby Karl,placed on IL
14479,12/8/09,Cavaliers, Jawad Williams,,activated from IL
14480,12/8/09,Celtics, Tony Allen,,activated from IL
14481,12/8/09,Clippers,, Ricky Davis,placed on IL
14482,12/8/09,Clippers, Brian Skinner,,activated from IL
14483,12/8/09,Mavericks,, Matt Carroll,placed on IL
14484,12/8/09,Mavericks, Josh Howard,,activated from IL
14485,12/8/09,Raptors,, Jose Calderon,placed on IL with sore left hip
14486,12/8/09,Raptors, Marcus Banks,,activated from IL
14487,12/8/09,Suns, Louis Amundson / Lou Amundson,,activated from IL
14488,12/8/09,Timberwolves,, Nathan Jawai,placed on IL with food poisoning
14489,12/8/09,Timberwolves, Brian Cardinal,,activated from IL
14490,12/8/09,Celtics,, Marquis Daniels,placed on IL with torn ligament in left thumb
14491,12/9/09,Bulls, Kirk Hinrich,,activated from IL
14492,12/9/09,Cavaliers,, Danny Green,placed on IL
14493,12/9/09,Cavaliers, Jamario Moon,,activated from IL
14494,12/9/09,Hornets,, Bobby Brown,placed on IL
14495,12/9/09,Hornets, Morris Peterson,,activated from IL
14496,12/9/09,Pacers,, Danny Granger,placed on IL with torn plantar fascia in right foot
14497,12/9/09,Pacers,, Earl Watson,placed on IL
14498,12/9/09,Pacers, A.J. Price,,activated from IL
14499,12/9/09,Pacers, Josh McRoberts,,activated from IL
14500,12/9/09,Raptors,, Andrea Bargnani,placed on IL with sore right ankle
14501,12/9/09,Raptors, Patrick O'Bryant,,activated from IL
14502,12/10/09,Nuggets,, Kenyon Martin Sr.,placed on IL with dislocated left pinky finger
14503,12/10/09,Nuggets, Malik Allen,,activated from IL
14504,12/10/09,Wizards,, Mike Miller,placed on IL (P)
14505,12/10/09,Wizards, Nick Young,,activated from IL
14506,12/11/09,Cavaliers,, Daniel Gibson,placed on IL with sprained right pinkie finger
14507,12/11/09,Cavaliers, Coby Karl,,activated from IL
14508,12/11/09,Hawks,, Joe Smith (Leynard),placed on IL with dislocated left thumb
14509,12/11/09,Hawks, Othello Hunter,,activated from IL
14510,12/11/09,Heat,, Shavlik Randolph,placed on IL
14511,12/11/09,Mavericks,, James Singleton,placed on IL
14512,12/11/09,Mavericks, Quinton Ross,,activated from IL
14513,12/11/09,Nets,, Jarvis Hayes,placed on IL (P)
14514,12/11/09,Nets, Tony Battie,,activated from IL (P)
14515,12/11/09,Pacers,, Josh McRoberts,placed on IL
14516,12/11/09,Pacers, Earl Watson,,activated from IL
14517,12/11/09,Raptors,, Marcus Banks,placed on IL
14518,12/11/09,Raptors,, Patrick O'Bryant,placed on IL
14519,12/11/09,Raptors, Andrea Bargnani,,activated from IL
14520,12/11/09,Raptors, Jose Calderon,,activated from IL
14521,12/11/09,Timberwolves,, Brian Cardinal,placed on IL
14522,12/11/09,Timberwolves, Nathan Jawai,,activated from IL
14523,12/11/09,Heat, Daequan Cook,,activated from IL
14524,12/12/09,Bucks, Michael Redd,,activated from IL
14525,12/12/09,Nuggets, Kenyon Martin Sr.,,activated from IL
14526,12/12/09,Pistons, Richard Hamilton,,activated from IL
14527,12/13/09,Clippers,, Brian Skinner,placed on IL
14528,12/13/09,Clippers, Ricky Davis,,activated from IL
14529,12/13/09,Heat,, Quentin Richardson,placed on IL with sore right hamstring
